what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757693147
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757696365
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587757709065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757725869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757733518
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757733527
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1587757737455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757792920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757801290
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587757801300
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757806601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757838101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757846350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757853290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757855190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757873929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587757906383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587758412739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1587758421431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587758447705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587760243426
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.extract.class",1587760243437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587760244620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587760249783
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1587760249904
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1587760250391
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1587760250392
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1587760250392
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1587760250393
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1587760250393
